,Protein,Abundance,Sample,ID
7551,Vitamin D-binding protein ,1,tetrahedron+cho,P02774
7552,Alpha-1B-glycoprotein ,1,tetrahedron+cho,P04217
7553,Complement C5 ,1,tetrahedron+cho,P01031
7554,Insulin-like growth factor-binding protein complex acid labile subunit ,1,tetrahedron+cho,P35858
7555,Immunoglobulin kappa variable 3-15 ,1,tetrahedron+cho,P01624
7556,Immunoglobulin kappa constant ,0,tetrahedron+cho,P01834
7557,Immunoglobulin lambda constant 1 ,1,tetrahedron+cho,P0CG04
7558,Immunoglobulin lambda-like polypeptide 5 ,1,tetrahedron+cho,B9A064
7559,Immunoglobulin heavy constant gamma 3 ,1,tetrahedron+cho,P01860
7560,Complement C1q subcomponent subunit B ,1,tetrahedron+cho,P02746
7561,Immunoglobulin heavy variable 3-13 ,0,tetrahedron+cho,P01766
7562,Complement component C8 alpha chain ,1,tetrahedron+cho,P07357
7563,Albumin ,1,tetrahedron+cho,P02768
7564,Immunoglobulin heavy variable 3/,0,tetrahedron+cho,A0A0A0MS15
7565,Inter-alpha-trypsin inhibitor heavy chain H1 ,1,tetrahedron+cho,P19827
7566,Afamin ,1,tetrahedron+cho,P43652
7567,Immunoglobulin kappa variable 4-1 ,1,tetrahedron+cho,P06312
7568,Histidine-rich glycoprotein ,1,tetrahedron+cho,P04196
7569,Immunoglobulin heavy variable 5-51 ,1,tetrahedron+cho,A0A0C4DH38
7570,Immunoglobulin heavy constant gamma 2 ,1,tetrahedron+cho,P01859
7571,Complement C4-A ,1,tetrahedron+cho,P0C0L4
7572,Serotransferrin ,1,tetrahedron+cho,P02787
7573,Alpha-2-macroglobulin ,0,tetrahedron+cho,P01023
7574,Clusterin ,1,tetrahedron+cho PL,Q15846
7575,Apolipoprotein E ,1,tetrahedron+cho PL,P02649
7576,Actin  cytoplasmic 2 ,1,tetrahedron+cho PL,P63261
7577,Heat shock cognate 71 kDa protein ,1,tetrahedron+cho PL,P11142
7578,Annexin ,1,tetrahedron+cho PL,O76027
7579,Glyceraldehyde-3-phosphate dehydrogenase ,1,tetrahedron+cho PL,O14556
7580,Actin  cytoplasmic 1 ,1,tetrahedron+cho PL,P60709
7581,Heterogeneous nuclear ribonucleoproteins C1/C2 ,1,tetrahedron+cho PL,P07910
7582,Polyubiquitin-C ,1,tetrahedron+cho PL,P0CG48
7583,40S ribosomal protein SA ,1,tetrahedron+cho PL,A0A8I5KQE6
7584,Tubulin alpha-1A chain ,1,tetrahedron+cho PL,Q71U36
7585,Tubulin alpha-1B chain ,1,tetrahedron+cho PL,P68363
7586,Cathepsin D ,1,tetrahedron+cho PL,P07339
7587,Corneodesmosin ,1,tetrahedron+cho PL,Q15517
7588,Histone H2A ,1,tetrahedron+cho PL,P04908
7589,Desmoplakin ,1,tetrahedron+cho PL,P14923
7590,Histone H3 ,1,tetrahedron+cho PL,P68431
7591,Arginase-1 ,1,tetrahedron+cho PL,P05089
7592,Coagulation factor V ,1,tetrahedron+cho PL,P12259
7593,Heterogeneous nuclear ribonucleoprotein U ,1,tetrahedron+cho PL,Q1KMD3
7594,Heat shock protein HSP 90-alpha ,1,tetrahedron+cho PL,Q14568
7595,Histone H1.2 ,1,tetrahedron+cho PL,P16403
7596,Tubulin alpha-1C chain ,1,tetrahedron+cho PL,Q9BQE3
7597,Tubulin alpha chain ,1,tetrahedron+cho PL,A6NHL2
7598,Dipeptidyl peptidase 1 ,1,tetrahedron+cho PL,P53634
7599,Histone H2B type 2-F ,1,tetrahedron+cho PL,Q5QNW6
7600,Cofilin-1 ,1,tetrahedron+cho PL,P23528
7601,Polyubiquitin-B ,1,tetrahedron+cho PL,P0CG47
7602,ATP synthase subunit alpha  mitochondrial ,1,tetrahedron+cho PL,P25705
7603,Annexin A2 ,1,tetrahedron+cho PL,A6NMY6
7604,Desmocollin-1 ,1,tetrahedron+cho PL,Q08554
7605,Dermokine ,1,tetrahedron+cho PL,Q6E0U4
7606,Histone H4 ,1,tetrahedron+cho PL,P62805
7607,Histone H1.5 ,1,tetrahedron+cho PL,P16401
7608,Heat shock protein HSP 90-beta ,1,tetrahedron+cho PL,Q58FF6
7609,Histone H3.3 ,1,tetrahedron+cho PL,P84243
7610,Tubulin beta chain ,1,tetrahedron+cho PL,P07437
7611,Histone H1.3 ,1,tetrahedron+cho PL,P16402
7612,Histone H1.4 ,1,tetrahedron+cho PL,P10412
7613,Histone H2A type 2-B ,1,tetrahedron+cho PL,Q8IUE6
7614,Heat shock protein 75 kDa  mitochondrial ,1,tetrahedron+cho PL,Q12931
7615,Filaggrin-2 ,1,tetrahedron+cho PL,Q5D862
7616,Alpha-enolase ,1,tetrahedron+cho PL,P06733
7617,Lysozyme C ,1,tetrahedron+cho PL,P61626
7618,Histone H2B ,1,tetrahedron+cho PL,P06899
7619,Histone H2B type 1-C/E/F/G/I ,1,tetrahedron+cho PL,P62807
7620,Histone H2B type 1-D ,1,tetrahedron+cho PL,P58876
7621,Histone H2B type 1-H ,1,tetrahedron+cho PL,Q93079
7622,Histone H2B type 1-L ,1,tetrahedron+cho PL,Q99880
7623,Histone H2B type 1-M ,1,tetrahedron+cho PL,Q99879
7624,Histone H2B type 1-N ,1,tetrahedron+cho PL,Q99877
7625,Histone H2B type 1-K ,1,tetrahedron+cho PL,O60814
7626,Histone H2B type F-S ,1,tetrahedron+cho PL,P57053
7627,Immunoglobulin kappa variable 3D-11 ,1,tetrahedron+cho PL,A0A0A0MRZ8
7628,Apolipoprotein C-III ,1,tetrahedron+cho PL,P02656
7629,Dermcidin ,1,tetrahedron+cho PL,P81605
7630,Ubiquitin-60S ribosomal protein L40 ,1,tetrahedron+cho PL,P62987
7631,Cofilin-2 ,1,tetrahedron+cho PL,Q9Y281
7632,L-lactate dehydrogenase A chain ,1,tetrahedron+cho PL,P00338
7633,C-reactive protein ,1,tetrahedron+cho PL,P02741
7634,Hornerin ,1,tetrahedron+cho PL,Q86YZ3
7635,Protein POF1B,1,tetrahedron+cho PL,Q8WVV4
7636,Histone H3.1t ,1,tetrahedron+cho PL,Q16695
7637,Histone H3.2 ,1,tetrahedron+cho PL,Q71DI3
7638,60S ribosomal protein L7a ,1,tetrahedron+cho PL,P62424
7639,BRI3-binding protein ,1,tetrahedron+cho PL,Q8WY22
7640,Heterogeneous nuclear ribonucleoprotein C-like 2 ,1,tetrahedron+cho PL,B2RXH8
7641,Ubiquitin-40S ribosomal protein S27a ,1,tetrahedron+cho PL,P62979
7642,Apolipoprotein(a) ,1,tetrahedron+cho PL,P02647
7643,60 kDa heat shock protein  mitochondrial ,1,tetrahedron+cho PL,P10809
7644,Histone H2AX ,1,tetrahedron+cho PL,P16104
7645,Histone H2A type 1-D ,1,tetrahedron+cho PL,P20671
7646,Histone H2A type 1 ,1,tetrahedron+cho PL,Q99878
7647,Beta-actin-like protein 2 ,1,tetrahedron+cho PL,Q562R1
7648,Histone H2A type 1-H ,1,tetrahedron+cho PL,Q96KK5
7649,Histone H2A type 2-A ,1,tetrahedron+cho PL,Q6FI13
7650,Histone H2A type 2-C ,1,tetrahedron+cho PL,Q16777
7651,Histone H2A type 1-C ,1,tetrahedron+cho PL,Q93077
7652,Histone H2A.J ,1,tetrahedron+cho PL,Q9BTM1
7653,Histone H2A type 3 ,1,tetrahedron+cho PL,Q7L7L0
7654,Peptidyl-prolyl cis-trans isomerase ,1,tetrahedron+cho PL,Q5VVH2
7655,Peptidyl-prolyl cis-trans isomerase A ,1,tetrahedron+cho PL,P62937
7656,Histone H2A type 1-A ,1,tetrahedron+cho PL,Q96QV6
7657,Immunoglobulin heavy variable 3-64D ,1,tetrahedron+cho PL,A0A0J9YX35
7658,Heterogeneous nuclear ribonucleoprotein C-like 4 ,1,tetrahedron+cho PL,P0DMR1
7659,Desmoglein-1 ,1,tetrahedron+cho PL,Q02413
7660,Lipocalin-1 ,1,tetrahedron+cho PL,Q5VSP4
7661,Galectin-7 ,1,tetrahedron+cho PL,P47929
7662,Proteasome subunit alpha type ,1,tetrahedron+cho PL,Q8TAA3
7663,Plastin-2 ,1,tetrahedron+cho PL,P13796
7664,T-complex protein 1 subunit delta ,1,tetrahedron+cho PL,P50991
7665,Elongation factor 1-gamma ,1,tetrahedron+cho PL,P26641
7666,HCG2029799 ,1,tetrahedron+cho PL,Q5TEH5
7667,ATPase family AAA domain-containing protein 2B ,1,tetrahedron+cho PL,Q9ULI0
7668,Nucleoprotein TPR ,1,tetrahedron+cho PL,P12270
7669,Peroxiredoxin-1 ,1,tetrahedron+cho PL,Q06830
7670,60S ribosomal protein L6 ,1,tetrahedron+cho PL,Q02878
7671,Heterogeneous nuclear ribonucleoprotein C-like 1 ,1,tetrahedron+cho PL,O60812
7672,Heterogeneous nuclear ribonucleoprotein C-like 3 ,1,tetrahedron+cho PL,B7ZW38
7673,Probable non-functional immunoglobulin heavy variable 3-16 ,1,tetrahedron+cho PL,A0A0C4DH30
7674,Triosephosphate isomerase ,1,tetrahedron+cho PL,P60174
7675,60S ribosomal protein L11 ,1,tetrahedron+cho PL,P62913
7676,Plakophilin-1 ,1,tetrahedron+cho PL,Q13835
7677,Sarcosine dehydrogenase  mitochondrial ,1,tetrahedron+cho PL,Q9UL12
7678,Proteasome subunit alpha type-6 ,1,tetrahedron+cho PL,P60900
7679,60S ribosomal protein L7 ,1,tetrahedron+cho PL,P18124
7680,Immunoglobulin heavy variable 3-48 ,1,tetrahedron+cho PL,P01763
7681,Apolipoprotein A-IV ,1,tetrahedron+cho PL,P06727
7682,Catalase ,1,tetrahedron+cho PL,P04040
7683,Peroxiredoxin-2 ,1,tetrahedron+cho PL,P32119
7684,Elongation factor 2 ,1,tetrahedron+cho PL,P13639
7685,Immunoglobulin heavy variable 5-10-1 ,1,tetrahedron+cho PL,A0A0J9YXX1
7686,ELAV-like protein 1 ,1,tetrahedron+cho PL,Q15717
7687,Immunoglobulin heavy variable 3-30-5 ,1,tetrahedron+cho PL,P0DP03
7688,40S ribosomal protein S21 ,0,tetrahedron+cho PL,P63220
7689,40S ribosomal protein S25 ,0,tetrahedron+cho PL,P62851
7690,40S ribosomal protein S6 ,0,tetrahedron+cho PL,P62753
7691,Alpha-amylase 2B ,0,tetrahedron+cho PL,P19961
7692,Aspartate aminotransferase  cytoplasmic ,0,tetrahedron+cho PL,P17174
7693,ATP synthase F(0) complex subunit C3  mitochondrial ,0,tetrahedron+cho PL,P48201
7694,C4b-binding protein beta chain ,0,tetrahedron+cho PL,P20851
7695,Calpain-1 catalytic subunit ,0,tetrahedron+cho PL,P07384
7696,Coiled-coil domain-containing protein 174 ,0,tetrahedron+cho PL,Q6PII3
7697,Cytosolic 5'-nucleotidase 3A ,0,tetrahedron+cho PL,Q9H0P0
7698,Disco-interacting protein 2 homolog B ,0,tetrahedron+cho PL,Q9P265
7699,DNA repair protein REV1 ,0,tetrahedron+cho PL,Q9UBZ9
7700,Double-stranded RNA-specific editase 1 ,0,tetrahedron+cho PL,P78563
7701,Dual specificity protein phosphatase CDC14A ,0,tetrahedron+cho PL,Q9UNH5
7702,Filamin-C ,0,tetrahedron+cho PL,Q14315
7703,Glucosylceramide transporter ABCA12 ,0,tetrahedron+cho PL,Q86UK0
7704,Heat shock 70kDa protein 9B (Mortalin-2) ,0,tetrahedron+cho PL,H0Y8K0
7705,Kinesin-like protein KIF21A ,0,tetrahedron+cho PL,Q7Z4S6
7706,MICAL-like protein 1 ,0,tetrahedron+cho PL,Q8N3F8
7707,Myosin-9 ,0,tetrahedron+cho PL,P35579
7708,Nephrocystin-4 ,0,tetrahedron+cho PL,O75161
7709,Non-histone chromosomal protein HMG-17 ,0,tetrahedron+cho PL,P05204
7710,Partitioning defective 3 homolog ,0,tetrahedron+cho PL,Q8TEW0
7711,PAX-interacting protein 1 ,0,tetrahedron+cho PL,Q6ZW49
7712,Phosphatidylinositol 3 4 5-trisphosphate-dependent Rac exchanger 1 protein ,0,tetrahedron+cho PL,Q8TCU6
7713,Protein FAM83G ,0,tetrahedron+cho PL,A6ND36
7714,Protein phosphatase 1 regulatory inhibitor subunit 16B ,0,tetrahedron+cho PL,Q96T49
7715,Serpin B12 ,0,tetrahedron+cho PL,Q96P63
7716,SKI/DACH domain-containing protein 1 ,0,tetrahedron+cho PL,Q1XH10
7717,Small ubiquitin-related modifier 2 ,0,tetrahedron+cho PL,P61956
7718,Transketolase ,0,tetrahedron+cho PL,P51854
7719,Transthyretin ,1,tetrahedron+cho PL,P02766
7720,Tryptophan--tRNA ligase  ,0,tetrahedron+cho PL,Q9UGM6
7721,Tyrosine-protein kinase ABL1 ,0,tetrahedron+cho PL,P00519
7722,Tyrosine-protein kinase ABL2 ,0,tetrahedron+cho PL,P42684
7723,Zinc finger protein 445 ,0,tetrahedron+cho PL,P59923
7724,Zinc finger protein castor homolog 1 ,0,tetrahedron+cho PL,Q86V15
7725,Adapter SH3BGRL ,0,tetrahedron+cho PL,O75368
7726,ATP-binding cassette sub-family F member 1 ,1,tetrahedron+cho PL,Q8NE71
7727,Clathrin heavy chain 2 ,0,tetrahedron+cho PL,P53675
7728,Cohesin subunit SA-3 ,0,tetrahedron+cho PL,Q9UJ98
7729,Histone H2B type 1-A ,0,tetrahedron+cho PL,Q96A08
7730,Histone H2B type 2-K1 ,0,tetrahedron+cho PL,A0A2R8Y619
7731,Midasin ,0,tetrahedron+cho PL,Q9NU22
7732,POTE ankyrin domain family member F,0,tetrahedron+cho PL,A5A3E0
7733,Phosphate carrier protein  mitochondrial ,0,tetrahedron+cho PL,Q00325
7734,Protein Shroom2 ,1,tetrahedron+cho PL,Q13796
7735,Protein-glutamine gamma-glutamyltransferase K ,0,tetrahedron+cho PL,P22735
7736,Pyruvate kinase PKM ,0,tetrahedron+cho PL,P14618
7737,Small proline-rich protein 2G ,0,tetrahedron+cho PL,Q9BYE4
7738,Small ubiquitin-related modifier 3 ,0,tetrahedron+cho PL,P55854
7739,Suprabasin ,0,tetrahedron+cho PL,Q6UWP8
7740,Syndetin ,0,tetrahedron+cho PL,Q96JG6
7741,Tubulin alpha-3D chain ,0,tetrahedron+cho PL,P0DPH8
7742,Ubiquitin carboxyl-terminal hydrolase 32 ,0,tetrahedron+cho PL,Q8NFA0
7743,Vesicle-fusing ATPase ,0,tetrahedron+cho PL,P46459
7744,Vimentin ,0,tetrahedron+cho PL,P08670
7745,Alpha-fetoprotein ,0,tetrahedron+cho PL,P02771
7746,Coagulation factor X ,1,tetrahedron+cho PL,P00742
7747,Immunoglobulin lambda variable 9-49 ,0,tetrahedron+cho PL,A0A0B4J1Y8
7748,10 kDa heat shock protein  mitochondrial ,0,tetrahedron+cho PL,P61604
7749,Adenosylhomocysteinase ,0,tetrahedron+cho PL,P23526
7750,Diphosphoinositol polyphosphate phosphohydrolase 2 ,0,tetrahedron+cho PL,Q9NZJ9
7751,Dynein axonemal heavy chain 1 ,0,tetrahedron+cho PL,Q9P2D7
7752,GTP-binding nuclear protein Ran ,0,tetrahedron+cho PL,P62826
7753,HCG40295 ,1,tetrahedron+cho PL,F6WE04
7754,Heat shock 70 kDa protein 6 ,0,tetrahedron+cho PL,P17066
7755,Histone acetyltransferase KAT6B ,0,tetrahedron+cho PL,Q8WYB5
7756,Isocitrate dehydrogenase [NAD] subunit alpha  mitochondrial ,0,tetrahedron+cho PL,P50213
7757,Isocitrate dehydrogenase [NADP] cytoplasmic ,1,tetrahedron+cho PL,O75874
7758,Nebulin ,0,tetrahedron+cho PL,P20929
7759,Prohibitin ,0,tetrahedron+cho PL,P35232
7760,Protein disulfide-isomerase A3 ,0,tetrahedron+cho PL,P30101
7761,Protein FAM135A ,0,tetrahedron+cho PL,Q9P2D6
7762,Ras-related protein Rab-5A ,0,tetrahedron+cho PL,P20339
7763,Talin-2 ,0,tetrahedron+cho PL,Q9Y4G6
7764,C1q domain-containing protein,0,tetrahedron+cho PL,Q6IMN6
7765,Retinol-binding protein 4 ,0,tetrahedron+cho PL,P02753
7766,IgGFc-binding protein ,1,tetrahedron+cho PL,Q9Y6R7
7767,Glial fibrillary acidic protein  ,0,tetrahedron+cho PL,P14136
7768,HAUS augmin-like complex subunit 3 ,0,tetrahedron+cho PL,Q68CZ6
7769,Heat shock 70 kDa protein 1A ,0,tetrahedron+cho PL,P0DMV8
7770,Histone H2B type 3-B ,0,tetrahedron+cho PL,Q8N257
7771,Immunoglobulin lambda variable 1-44 ,0,tetrahedron+cho PL,P01699
7772,Interleukin-1 receptor accessory protein ,0,tetrahedron+cho PL,Q9NZN1
7773,Protein S100-A7 ,1,tetrahedron+cho PL,P31151
7774,Tumor protein D52 ,0,tetrahedron+cho PL,P55327
7775,Zinc finger MYND domain-containing protein 11 ,0,tetrahedron+cho PL,Q15326
7776,Aspartate aminotransferase  mitochondrial ,0,tetrahedron+cho PL,P00505
7777,ATP synthase F(0) complex subunit C1  mitochondrial ,0,tetrahedron+cho PL,P05496
7778,ATP synthase F(0) complex subunit C2  mitochondrial ,0,tetrahedron+cho PL,Q06055
7779,ATP-binding cassette sub-family G member 4 ,0,tetrahedron+cho PL,Q9H172
7780,Chondroitin sulfate synthase 3 ,0,tetrahedron+cho PL,Q70JA7
7781,Fibrinogen beta chain ,0,tetrahedron+cho PL,P02675
7782,Fructose-bisphosphate aldolase A ,0,tetrahedron+cho PL,P04075
7783,Gamma-enolase ,0,tetrahedron+cho PL,P09104
7784,Histone H2B type 1-B ,0,tetrahedron+cho PL,P33778
7785,Histone H2B type 2-E ,0,tetrahedron+cho PL,Q16778
7786,Immunoglobulin heavy variable 2-70D ,0,tetrahedron+cho PL,A0A0C4DH43
7787,Immunoglobulin kappa joining 1 ,0,tetrahedron+cho PL,A0A0A0MT89
7788,Microtubule-associated serine/threonine-protein kinase 3 ,0,tetrahedron+cho PL,O60307
7789,POTE ankyrin domain family member I,0,tetrahedron+cho PL,P0CG38
7790,Ras-related protein Rab-5C ,0,tetrahedron+cho PL,P51148
7791,S-adenosylmethionine synthase ,1,tetrahedron+cho PL,P31153
7792,Serine/arginine-rich splicing factor 3 ,0,tetrahedron+cho PL,P84103
7793,Small nuclear ribonucleoprotein Sm D3 ,0,tetrahedron+cho PL,P62318
7794,T-complex protein 1 subunit theta ,0,tetrahedron+cho PL,Q96SF2
7795,Calmodulin-like protein 5 ,1,tetrahedron+cho PL,Q9NZT1
7796,Chloride intracellular channel protein 1 ,1,tetrahedron+cho PL,O00299
7797,Inactive pancreatic lipase-related protein 1 ,0,tetrahedron+cho PL,P54315
7798,Methyl-CpG-binding domain protein 5 ,0,tetrahedron+cho PL,Q9P267
7799,Myelin expression factor 2 ,0,tetrahedron+cho PL,Q9P2K5
7800,Proline-rich protein 36 ,0,tetrahedron+cho PL,Q9H6K5
7801,RPL22 ,0,tetrahedron+cho PL,P35268
7802,Tubulin beta-4B chain ,0,tetrahedron+cho PL,P68371
7803,Ubiquitin-protein ligase E3B ,0,tetrahedron+cho PL,Q7Z3V4
7804,Bridge-like lipid transfer protein family member 2  ,0,tetrahedron+cho PL,Q14667
7805,Dynein regulatory complex protein 10 ,0,tetrahedron+cho PL,Q96DY2
7806,Fructose-bisphosphate aldolase ,0,tetrahedron+cho PL,P05062
7807,Glutamine synthetase ,0,tetrahedron+cho PL,P15104
7808,Hypoxia-inducible factor 3-alpha ,0,tetrahedron+cho PL,Q9Y2N7
7809,Polyadenylate-binding protein ,0,tetrahedron+cho PL,Q4VXU2
7810,Pyruvate kinase ,0,tetrahedron+cho PL,P30613
7811,Ras-related protein Rab-5B ,0,tetrahedron+cho PL,P61020
7812,26S proteasome regulatory subunit 4 ,0,tetrahedron+cho PL,P62191
7813,Aconitate hydratase  mitochondrial ,0,tetrahedron+cho PL,Q99798
7814,Hemoglobin subunit beta ,0,tetrahedron+cho PL,P68871
7815,MAP kinase-activating death domain protein ,0,tetrahedron+cho PL,Q8WXG6
7816,Myosin light polypeptide 6 ,0,tetrahedron+cho PL,P60660
7817,Prolactin-inducible protein ,1,tetrahedron+cho PL,P12273
7818,Rho family-interacting cell polarization regulator 1 ,1,tetrahedron+cho PL,Q6ZS17
7819,Ribosome biogenesis protein SPATA5 ,0,tetrahedron+cho PL,Q8NB90
7820,Serpin B3 ,0,tetrahedron+cho PL,P29508
7821,Tubby protein homolog ,0,tetrahedron+cho PL,P50607
7822,Uncharacterized protein KIAA0825 ,0,tetrahedron+cho PL,Q8IV33
7823,Zymogen granule protein 16 homolog B ,0,tetrahedron+cho PL,Q96DA0
7824,Four and a half LIM domains protein 1  ,0,tetrahedron+cho PL,Q13642
7825,Immunoglobulin heavy variable 2-70 ,0,tetrahedron+cho PL,P01814
7826,Mucin-19 ,0,tetrahedron+cho PL,Q7Z5P9
7827,Perilipin-3 ,0,tetrahedron+cho PL,O60664
7828,Proline-serine-threonine phosphatase-interacting protein 2 ,1,tetrahedron+cho PL,Q9H939
7829,Acyl-coenzyme A thioesterase 8 ,0,tetrahedron+cho PL,O14734
7830,Cystatin-B ,0,tetrahedron+cho PL,P04080
7831,Moesin ,1,tetrahedron+cho PL,P26038
7832,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha ,0,tetrahedron+cho PL,O00443
7833,Tubby-like protein ,1,tetrahedron+cho PL,O00294
7834,Apolipoprotein C-II ,0,tetrahedron+cho PL,P02655
7835,Beta-enolase ,0,tetrahedron+cho PL,P13929
7836,Citrate synthase  ,0,tetrahedron+cho PL,O75390
7837,Ezrin ,1,tetrahedron+cho PL,P15311
7838,Nesprin-2 ,0,tetrahedron+cho PL,Q8WXH0
7839,Protein unc-80 homolog ,0,tetrahedron+cho PL,Q8N2C7
7840,Protocadherin Fat 4 ,0,tetrahedron+cho PL,Q6V0I7
7841,Retroviral-like aspartic protease 1 ,0,tetrahedron+cho PL,Q53RT3
7842,Tryptophan--tRNA ligase  cytoplasmic ,0,tetrahedron+cho PL,P23381
7843,Extracellular matrix protein 1 ,0,tetrahedron+cho PL,Q16610
7844,EH domain-binding protein 1-like protein 1 ,0,tetrahedron+cho PL,Q8N3D4
7845,FERM and PDZ domain-containing protein 1 ,0,tetrahedron+cho PL,Q5SYB0
7846,Sulfhydryl oxidase 1 ,1,tetrahedron+cho PL,O00391
7847,Collagen alpha-2(XI) chain ,0,tetrahedron+cho PL,P13942
7848,Glycine--tRNA ligase ,0,tetrahedron+cho PL,P41250
7849,Protein SON,0,tetrahedron+cho PL,P18583
7850,TSC22 domain family protein 2 ,0,tetrahedron+cho PL,O75157
7851,Tubulin beta-8 chain ,0,tetrahedron+cho PL,Q3ZCM7
7852,Stress-70 protein  mitochondrial ,0,tetrahedron+cho PL,P38646
7853,Dedicator of cytokinesis protein 1 ,0,tetrahedron+cho PL,Q14185
7854,Immunoglobulin heavy variable 3-73 ,0,tetrahedron+cho PL,A0A0B4J1V6
7855,Immunoglobulin heavy variable 3-64 ,0,tetrahedron+cho PL,A0A075B6Q5
7856,Proline/serine-rich coiled-coil protein 1 ,0,tetrahedron+cho PL,Q6PGN9
7857,SERPIN domain-containing protein  ,1,tetrahedron+cho PL,A8MTL9
7858,Deleted in malignant brain tumors 1 protein ,0,tetrahedron+cho PL,Q9UGM3
7859,Immunoglobulin lambda variable 1-40 ,0,tetrahedron+cho PL,P01703
7860,NCK-interacting protein with SH3 domain ,0,tetrahedron+cho PL,Q9NZQ3
7861,Submaxillary gland androgen-regulated protein 3B ,0,tetrahedron+cho PL,P02814
7862,T-complex protein 1 subunit gamma ,0,tetrahedron+cho PL,P49368
7863,Clathrin coat assembly protein AP180 ,0,tetrahedron+cho PL,O60641
7864,78 kDa glucose-regulated protein ,0,tetrahedron+cho PL,P11021
7865,Bleomycin hydrolase ,1,tetrahedron+cho PL,Q13867
7866,Immunoglobulin kappa variable 3D-15 ,0,tetrahedron+cho PL,A0A087WSY6
7867,Protein S100-A9 ,0,tetrahedron+cho PL,P06702
7868,Ras-related protein Rab-7a ,0,tetrahedron+cho PL,P51149
7869,DNA replication licensing factor MCM4 ,1,tetrahedron+cho PL,P33991
7870,Fibrinogen alpha chain ,0,tetrahedron+cho PL,P02671
7871,Protein S100-A8 ,1,tetrahedron+cho PL,P05109
7872,Fermitin family homolog 3 ,1,tetrahedron+cho PL,Q86UX7
7873,Fibrinogen gamma chain ,1,tetrahedron+cho PL,P02679
7874,26S proteasome regulatory subunit 8 ,0,tetrahedron+cho PL,P62195
7875,Propionyl-CoA carboxylase beta chain  mitochondrial ,0,tetrahedron+cho PL,P05166
7876,Immunoglobulin kappa variable 6-21 ,0,tetrahedron+cho PL,A0A0C4DH24
7877,14-3-3 protein zeta/delta ,0,tetrahedron+cho PL,P63104
7878,Immunoglobulin lambda variable 3-19 ,0,tetrahedron+cho PL,P01714
7879,POTE ankyrin domain family member E,1,tetrahedron+cho PL,Q6S8J3
7880,Putative beta-actin-like protein 3 ,1,tetrahedron+cho PL,Q9BYX7
7881,Protein disulfide-isomerase ,0,tetrahedron+cho PL,Q14554
7882,Phosphoglycerate kinase 1 ,1,tetrahedron+cho PL,P00558
7883,Talin-1 ,1,tetrahedron+cho PL,Q9Y490
7884,Tetratricopeptide repeat protein 39A ,1,tetrahedron+cho PL,Q5SRH9
7885,Complement component C8 gamma chain ,1,tetrahedron+cho PL,P07360
7886,Profilin-1 ,0,tetrahedron+cho PL,P07737
7887,Hemicentin-2 ,0,tetrahedron+cho PL,Q8NDA2
7888,Eukaryotic initiation factor 4A-I ,0,tetrahedron+cho PL,P60842
7889,Glutathione peroxidase 3 ,0,tetrahedron+cho PL,P22352
7890,RNA helicase ,0,tetrahedron+cho PL,Q14562
7891,Glutathione S-transferase ,0,tetrahedron+cho PL,O15217
7892,Glutathione S-transferase P ,0,tetrahedron+cho PL,P09211
7893,GTP-binding protein SAR1a ,1,tetrahedron+cho PL,Q9NR31
7894,Immunoglobulin heavy variable 1-69 ,1,tetrahedron+cho PL,A0A0G2JMI3
7895,14-3-3 protein sigma ,0,tetrahedron+cho PL,P31947
7896,60S ribosomal protein L22 ,0,tetrahedron+cho PL,Q6P5R6
7897,ATP-binding cassette sub-family B member 5 ,0,tetrahedron+cho PL,Q2M3G0
7898,Phosphatidylcholine translocator ABCB4 ,0,tetrahedron+cho PL,P21439
7899,40S ribosomal protein S8 ,0,tetrahedron+cho PL,P62241
7900,GTP-binding protein SAR1b ,1,tetrahedron+cho PL,Q9Y6B6
7901,Heterogeneous nuclear ribonucleoprotein A1 ,0,tetrahedron+cho PL,A0A2R8Y4L2
7902,Tubulin beta-4A chain ,0,tetrahedron+cho PL,P04350
7903,Immunoglobulin kappa variable 1-9 ,1,tetrahedron+cho PL,A0A0C4DH69
7904,Dystonin ,0,tetrahedron+cho PL,Q03001
7905,Radixin ,1,tetrahedron+cho PL,P35241
7906,BPI fold-containing family B member 1 ,1,tetrahedron+cho PL,Q8TDL5
7907,Properdin ,1,tetrahedron+cho PL,P27918
7908,Eukaryotic initiation factor 4A-II ,0,tetrahedron+cho PL,Q14240
7909,Probable non-functional immunoglobulin heavy variable 3-35 ,1,tetrahedron+cho PL,A0A0C4DH35
7910,Immunoglobulin heavy variable 4-31 ,1,tetrahedron+cho PL,P0DP07
7911,Immunoglobulin heavy variable 4-30-2 ,1,tetrahedron+cho PL,A0A087WSY4
7912,Elongation factor 1-delta ,0,tetrahedron+cho PL,P29692
7913,Sushi domain-containing protein,1,tetrahedron+cho PL,Q6UWL2
7914,ATP synthase subunit beta  ,1,tetrahedron+cho PL,P06576
7915,Immunoglobulin kappa variable 1D-12 ,1,tetrahedron+cho PL,P01611
7916,Immunoglobulin heavy variable 4-59 ,1,tetrahedron+cho PL,P01825
7917,Immunoglobulin heavy variable 4-34 ,1,tetrahedron+cho PL,P06331
7918,Immunoglobulin heavy variable 4-61 ,1,tetrahedron+cho PL,A0A0C4DH41
