,Protein,Abundance,Sample
9237,Histone H3.3 ,1,tube
9238,Tubulin beta chain ,1,tube
9239,Histone H1.3 ,1,tube
9240,Histone H1.4 ,1,tube
9241,Histone H2A type 2-B ,1,tube
9242,Heat shock protein 75 kDa  mitochondrial ,1,tube
9243,Filaggrin-2 ,1,tube
9244,Alpha-enolase ,1,tube
9245,Lysozyme C ,1,tube
9246,Histone H2B ,1,tube
9247,Histone H2B type 1-C/E/F/G/I ,1,tube
9248,Histone H2B type 1-D ,1,tube
9249,Histone H2B type 1-H ,1,tube
9250,Histone H2B type 1-L ,1,tube
9251,Histone H2B type 1-M ,1,tube
9252,Histone H2B type 1-N ,1,tube
9253,Histone H2B type 1-K ,1,tube
9254,Histone H2B type F-S ,1,tube
9255,Immunoglobulin kappa variable 3D-11 ,0,tube
9256,Apolipoprotein C-III ,1,tube
9257,Dermcidin ,1,tube
9258,Ubiquitin-60S ribosomal protein L40 ,1,tube
9259,Cofilin-2 ,1,tube
9260,L-lactate dehydrogenase A chain ,1,tube
9261,C-reactive protein ,1,tube
9262,Hornerin ,1,tube
9263,Protein POF1B,1,tube
9264,Phosphopyruvate hydratase ,1,tube
9265,Histone H3.1 ,1,tube
9266,Histone H3.1t ,1,tube
9267,Histone H3.2 ,1,tube
9268,60S ribosomal protein L7a ,1,tube
9269,BRI3-binding protein ,1,tube
9270,Heterogeneous nuclear ribonucleoprotein C-like 2 ,1,tube
9271,Ubiquitin-40S ribosomal protein S27a ,1,tube
9272,Apolipoprotein(a) ,1,tube
9273,60 kDa heat shock protein  mitochondrial ,1,tube
9274,Histone H2AX ,1,tube
9275,Histone H2A type 1-D ,1,tube
9276,Histone H2A type 1 ,1,tube
9277,Histone H2A type 1-B/E ,1,tube
9278,Beta-actin-like protein 2 ,1,tube
9279,Histone H2A type 1-H ,1,tube
9280,Histone H2A type 2-A ,1,tube
9281,Histone H2A type 2-C ,1,tube
9282,Histone H2A type 1-C ,1,tube
9283,Histone H2A.J ,1,tube
9284,Histone H2A type 3 ,1,tube
9285,Peptidyl-prolyl cis-trans isomerase ,1,tube
9286,Peptidyl-prolyl cis-trans isomerase A ,1,tube
9287,Histone H2A type 1-A ,1,tube
9288,Histone H2A type 1-J ,1,tube
9289,Immunoglobulin heavy variable 3-64D ,1,tube
9290,Heterogeneous nuclear ribonucleoprotein C-like 4 ,1,tube
9291,Desmoglein-1 ,1,tube
9292,Lipocalin-1 ,1,tube
9293,Galectin-7 ,1,tube
9294,Putative lipocalin 1-like protein 1 ,1,tube
9295,Proteasome subunit alpha type ,1,tube
9296,Plastin-2 ,1,tube
9297,T-complex protein 1 subunit delta ,1,tube
9298,Elongation factor 1-gamma ,1,tube
9299,HCG2029799 ,1,tube
9300,ATPase family AAA domain-containing protein 2B ,1,tube
9301,Nucleoprotein TPR ,1,tube
9302,Peroxiredoxin-1 ,1,tube
9303,60S ribosomal protein L6 ,1,tube
9304,Heterogeneous nuclear ribonucleoprotein C-like 1 ,1,tube
9305,Heterogeneous nuclear ribonucleoprotein C-like 3 ,1,tube
9306,Probable non-functional immunoglobulin heavy variable 3-16 ,1,tube
9307,Triosephosphate isomerase ,1,tube
9308,60S ribosomal protein L11 ,1,tube
9309,Plakophilin-1 ,1,tube
9310,Sarcosine dehydrogenase  mitochondrial ,1,tube
9311,Proteasome subunit alpha type-6 ,1,tube
9312,60S ribosomal protein L7 ,1,tube
9313,Immunoglobulin heavy variable 3-48 ,1,tube
9314,Apolipoprotein A-IV ,1,tube
9315,Catalase ,1,tube
9316,Peroxiredoxin-2 ,1,tube
9317,Elongation factor 2 ,1,tube
9318,Immunoglobulin heavy variable 5-10-1 ,1,tube
9319,ELAV-like protein 1 ,1,tube
9320,Immunoglobulin heavy variable 3-30-5 ,1,tube
9321,Immunoglobulin heavy variable 3-30 ,1,tube
9322,40S ribosomal protein S21 ,0,tube
9323,40S ribosomal protein S25 ,0,tube
9324,40S ribosomal protein S6 ,0,tube
9325,Alpha-amylase 2B ,0,tube
9326,Aspartate aminotransferase  cytoplasmic ,0,tube
9327,ATP synthase F(0) complex subunit C3  mitochondrial ,0,tube
9328,ATPase family AAA domain-containing protein 2B  ,0,tube
9329,C4b-binding protein beta chain ,0,tube
9330,Calpain-1 catalytic subunit ,0,tube
9331,Coiled-coil domain-containing protein 174 ,0,tube
9332,Cytosolic 5'-nucleotidase 3A ,0,tube
9333,Disco-interacting protein 2 homolog B ,0,tube
9334,DNA repair protein REV1 ,0,tube
9335,Double-stranded RNA-specific editase 1 ,0,tube
9336,Dual specificity protein phosphatase CDC14A ,0,tube
9337,Filamin-C ,0,tube
9338,Glucosylceramide transporter ABCA12 ,0,tube
9339,Heat shock 70kDa protein 9B (Mortalin-2) ,0,tube
9340,Kinesin-like protein KIF21A ,0,tube
9341,MICAL-like protein 1 ,0,tube
9342,Myosin-9 ,0,tube
9343,Nephrocystin-4 ,0,tube
9344,Non-histone chromosomal protein HMG-17 ,0,tube
9345,Partitioning defective 3 homolog ,0,tube
9346,PAX-interacting protein 1 ,0,tube
9347,Phosphatidylinositol 3 4 5-trisphosphate-dependent Rac exchanger 1 protein ,0,tube
9348,Protein FAM83G ,0,tube
9349,Protein phosphatase 1 regulatory inhibitor subunit 16B ,0,tube
9350,Serpin B12 ,0,tube
9351,SKI/DACH domain-containing protein 1 ,0,tube
9352,Small ubiquitin-related modifier 2 ,0,tube
9353,Transketolase ,0,tube
9354,Transthyretin ,0,tube
9355,Tryptophan--tRNA ligase  ,0,tube
9356,Tyrosine-protein kinase ABL1 ,0,tube
9357,Tyrosine-protein kinase ABL2 ,0,tube
9358,Zinc finger protein 445 ,0,tube
9359,Zinc finger protein castor homolog 1 ,0,tube
9360,Adapter SH3BGRL ,0,tube
9361,ATP-binding cassette sub-family F member 1 ,0,tube
9362,Clathrin heavy chain 2 ,0,tube
9363,Cohesin subunit SA-3 ,0,tube
9364,Histone H2B type 1-A ,0,tube
9365,Histone H2B type 2-K1 ,0,tube
9366,Midasin ,0,tube
9367,POTE ankyrin domain family member F,0,tube
9368,Phosphate carrier protein  mitochondrial ,0,tube
9369,Polyadenylate-binding protein 1 ,0,tube
9370,Protein Shroom2 ,0,tube
9371,Protein-glutamine gamma-glutamyltransferase K ,0,tube
9372,Putative annexin A2-like protein ,0,tube
9373,Pyruvate kinase PKM ,0,tube
9374,Small proline-rich protein 2G ,0,tube
9375,Small ubiquitin-related modifier 3 ,0,tube
9376,Suprabasin ,0,tube
9377,Syndetin ,0,tube
9378,Tubulin alpha-3D chain ,0,tube
9379,Ubiquitin carboxyl-terminal hydrolase 32 ,0,tube
9380,Vesicle-fusing ATPase ,0,tube
9381,Vimentin ,0,tube
9382,Alpha-fetoprotein ,0,tube
9383,Coagulation factor X ,0,tube
9384,Immunoglobulin lambda variable 9-49 ,0,tube
9385,10 kDa heat shock protein  mitochondrial ,0,tube
9386,Adenosylhomocysteinase ,0,tube
9387,ATP synthase lipid-binding protein ,0,tube
9388,Citrate synthase  mitochondrial ,0,tube
9389,Diphosphoinositol polyphosphate phosphohydrolase 2 ,0,tube
9390,Dynein axonemal heavy chain 1 ,0,tube
9391,GTP-binding nuclear protein Ran ,0,tube
9392,HCG40295 ,0,tube
9393,Heat shock 70 kDa protein 6 ,0,tube
9394,Histone acetyltransferase KAT6B ,0,tube
9395,Isocitrate dehydrogenase [NAD] subunit alpha  mitochondrial ,0,tube
9396,Isocitrate dehydrogenase [NADP] cytoplasmic ,0,tube
9397,Nebulin ,0,tube
9398,Polyadenylate-binding protein 1-like ,0,tube
9399,Prohibitin ,0,tube
9400,Protein disulfide-isomerase A3 ,0,tube
9401,Protein FAM135A ,0,tube
9402,Ras-related protein Rab-5A ,0,tube
9403,Talin-2 ,0,tube
9404,C1q domain-containing protein,0,tube
9405,Retinol-binding protein ,0,tube
9406,Retinol-binding protein 4 ,0,tube
9407,IgGFc-binding protein ,0,tube
9408,Glial fibrillary acidic protein  ,0,tube
9409,HAUS augmin-like complex subunit 3 ,0,tube
9410,Heat shock 70 kDa protein 1A ,0,tube
9411,Histone H2B type 3-B ,0,tube
9412,Immunoglobulin lambda variable 1-44 ,0,tube
9413,Interleukin-1 receptor accessory protein ,0,tube
9414,Protein S100-A7 ,0,tube
9415,Tumor protein D52 ,0,tube
9416,Zinc finger MYND domain-containing protein 11 ,0,tube
9417,Aspartate aminotransferase  mitochondrial ,0,tube
9418,ATP synthase F(0) complex subunit C1  mitochondrial ,0,tube
9419,ATP synthase F(0) complex subunit C2  mitochondrial ,0,tube
9420,ATP-binding cassette sub-family G member 4 ,0,tube
9421,Chondroitin sulfate synthase 3 ,0,tube
9422,Fibrinogen beta chain ,0,tube
9423,Fructose-bisphosphate aldolase A ,0,tube
9424,Gamma-enolase ,0,tube
9425,Histone H2B type 1-,0,tube
9426,Histone H2B type 1-B ,0,tube
9427,Histone H2B type 2-E ,0,tube
9428,Immunoglobulin heavy variable 2-70D ,0,tube
9429,Immunoglobulin kappa joining 1 ,0,tube
9430,Microtubule-associated serine/threonine-protein kinase 3 ,0,tube
9431,POTE ankyrin domain family member I,0,tube
9432,Protein KIAA0100 ,0,tube
9433,Ras-related protein Rab-5C ,0,tube
9434,S-adenosylmethionine synthase ,0,tube
9435,Serine/arginine-rich splicing factor 3 ,0,tube
9436,Small nuclear ribonucleoprotein Sm D3 ,0,tube
9437,T-complex protein 1 subunit theta ,0,tube
9438,Calmodulin-like protein 5 ,0,tube
9439,Chloride intracellular channel protein 1 ,0,tube
9440,Histone H2B type 1-J ,0,tube
9441,Inactive pancreatic lipase-related protein 1 ,0,tube
9442,Methyl-CpG-binding domain protein 5 ,0,tube
9443,Myelin expression factor 2 ,0,tube
9444,Proline-rich protein 36 ,0,tube
9445,RPL22 ,0,tube
9446,Tubulin beta-4B chain ,0,tube
9447,Ubiquitin-protein ligase E3B ,0,tube
9448,Bridge-like lipid transfer protein family member 2  ,0,tube
9449,Dynein regulatory complex protein 10 ,0,tube
9450,Fructose-bisphosphate aldolase ,0,tube
9451,Glutamine synthetase ,0,tube
9452,Hypoxia-inducible factor 3-alpha ,0,tube
9453,Polyadenylate-binding protein ,0,tube
9454,Pyruvate kinase ,0,tube
9455,Ras-related protein Rab-5B ,0,tube
9456,SLIT-R,0,tube
9457,26S proteasome regulatory subunit 4 ,0,tube
9458,Aconitate hydratase  mitochondrial ,0,tube
9459,Endoplasmic reticulum chaperone BiP ,0,tube
9460,Hemoglobin subunit beta ,0,tube
9461,MAP kinase-activating death domain protein ,0,tube
9462,Myosin light polypeptide 6 ,0,tube
9463,Non-specific serine/threonine protein kinase ,0,tube
9464,Prolactin-inducible protein ,0,tube
9465,Rho family-interacting cell polarization regulator 1 ,0,tube
9466,Ribosome biogenesis protein SPATA5 ,0,tube
9467,Serpin B3 ,0,tube
9468,Tubby protein homolog ,0,tube
9469,Uncharacterized protein KIAA0825 ,0,tube
9470,Zymogen granule protein 16 homolog B ,0,tube
9471,Four and a half LIM domains protein 1  ,0,tube
9472,Immunoglobulin heavy variable 2-70 ,0,tube
9473,Mucin-19 ,0,tube
9474,Perilipin-3 ,0,tube
9475,Proline-serine-threonine phosphatase-interacting protein 2 ,0,tube
9476,Acyl-coenzyme A thioesterase 8 ,0,tube
9477,Cystatin-B ,0,tube
9478,Moesin ,0,tube
9479,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha ,0,tube
9480,Tubby-like protein ,0,tube
9481,Apolipoprotein C-II ,0,tube
9482,Beta-enolase ,0,tube
9483,Citrate synthase  ,0,tube
9484,Ezrin ,0,tube
9485,Nesprin-2 ,0,tube
9486,Protein unc-80 homolog ,0,tube
9487,Protocadherin Fat 4 ,0,tube
9488,Retroviral-like aspartic protease 1 ,0,tube
9489,Tryptophan--tRNA ligase  cytoplasmic ,0,tube
9490,Extracellular matrix protein 1 ,0,tube
9491,EH domain-binding protein 1-like protein 1 ,0,tube
9492,FERM and PDZ domain-containing protein 1 ,0,tube
9493,Sulfhydryl oxidase 1 ,0,tube
9494,Collagen alpha-2(XI) chain ,0,tube
9495,Glycine--tRNA ligase ,0,tube
9496,Protein SON,0,tube
9497,TSC22 domain family protein 2 ,0,tube
9498,Tubulin beta-8 chain ,0,tube
9499,Stress-70 protein  mitochondrial ,0,tube
9500,Dedicator of cytokinesis protein 1 ,0,tube
9501,Immunoglobulin heavy variable 3-73 ,0,tube
9502,Immunoglobulin heavy variable 3-64 ,0,tube
9503,Proline/serine-rich coiled-coil protein 1 ,0,tube
9504,SERPIN domain-containing protein  ,0,tube
9505,Deleted in malignant brain tumors 1 protein ,0,tube
9506,Immunoglobulin lambda variable 1-40 ,0,tube
9507,NCK-interacting protein with SH3 domain ,0,tube
9508,Submaxillary gland androgen-regulated protein 3B ,0,tube
9509,T-complex protein 1 subunit gamma ,0,tube
9510,Clathrin coat assembly protein AP180 ,0,tube
9511,78 kDa glucose-regulated protein ,0,tube
9512,Bleomycin hydrolase ,0,tube
9513,Immunoglobulin kappa variable 3D-15 ,0,tube
9514,Protein S100-A9 ,0,tube
9515,Immunoglobulin kappa variable 1/,0,tube
9516,Ras-related protein Rab-7a ,0,tube
9517,DNA replication licensing factor MCM4 ,0,tube
9518,Fibrinogen alpha chain ,0,tube
9519,Protein S100-A8 ,0,tube
9520,Fermitin family homolog 3 ,0,tube
9521,Fibrinogen gamma chain ,0,tube
9522,26S proteasome regulatory subunit 8 ,0,tube
9523,Propionyl-CoA carboxylase beta chain  mitochondrial ,0,tube
9524,Immunoglobulin kappa variable 6-21 ,0,tube
9525,14-3-3 protein zeta/delta ,0,tube
9526,Immunoglobulin lambda variable 3-19 ,0,tube
9527,POTE ankyrin domain family member E,0,tube
9528,Putative beta-actin-like protein 3 ,0,tube
9529,Protein disulfide-isomerase ,0,tube
9530,Phosphoglycerate kinase 1 ,0,tube
9531,Talin-1 ,0,tube
9532,Tetratricopeptide repeat protein 39A ,0,tube
9533,Complement component C8 gamma chain ,0,tube
9534,Profilin ,0,tube
9535,Profilin-1 ,0,tube
9536,Hemicentin-2 ,0,tube
9537,Eukaryotic initiation factor 4A-I ,0,tube
9538,Glutathione peroxidase 3 ,0,tube
9539,RNA helicase ,0,tube
9540,Glutathione S-transferase ,0,tube
9541,Glutathione S-transferase P ,0,tube
9542,GTP-binding protein SAR1a ,0,tube
9543,Immunoglobulin heavy variable 1-69 ,0,tube
9544,14-3-3 protein sigma ,0,tube
9545,60S ribosomal protein L22 ,0,tube
9546,ATP-binding cassette sub-family B member 5 ,0,tube
9547,Phosphatidylcholine translocator ABCB4 ,0,tube
9548,40S ribosomal protein S8 ,0,tube
9549,GTP-binding protein SAR1b ,0,tube
9550,Heterogeneous nuclear ribonucleoprotein A1 ,0,tube
9551,Tubulin beta-4A chain ,0,tube
9552,Immunoglobulin kappa variable 1-9 ,0,tube
9553,Dystonin ,0,tube
9554,Radixin ,0,tube
9555,BPI fold-containing family B member 1 ,0,tube
9556,Properdin ,0,tube
9557,Eukaryotic initiation factor 4A-II ,0,tube
9558,Probable non-functional immunoglobulin heavy variable 3-35 ,1,tube
9559,Immunoglobulin heavy variable 4-31 ,0,tube
9560,Immunoglobulin heavy variable 4-30-2 ,0,tube
9561,Elongation factor 1-delta ,0,tube
9562,Sushi domain-containing protein,0,tube
9563,ATP synthase subunit beta  ,0,tube
9564,Immunoglobulin kappa variable 1D-12 ,0,tube
9565,Immunoglobulin heavy variable 4-59 ,0,tube
9566,Immunoglobulin heavy variable 4-34 ,0,tube
9567,Immunoglobulin heavy variable 4-61 ,0,tube
9568,TAR DNA-binding protein 43 ,0,tube
9569,Immunoglobulin heavy variable 3-53 ,0,tube
9570,Immunoglobulin heavy variable 4-30-4 ,0,tube
9571,ATP synthase subunit beta  mitochondrial ,0,tube
9572,Immunoglobulin heavy variable 3-66 ,0,tube
9573,Immunoglobulin kappa variable 1-12 ,0,tube
9574,Immunoglobulin lambda variable 3-9 ,0,tube
9575,Immunoglobulin heavy variable 3-11 ,0,tube
9576,Heat shock protein beta-1 ,0,tube
9577,Immunoglobulin kappa variable 2-28 ,0,tube
9578,Immunoglobulin kappa variable 2D-26 ,0,tube
9579,Immunoglobulin kappa variable 2D-28 ,0,tube
9580,Immunoglobulin lambda constant 6 ,0,tube
9581,Immunoglobulin lambda variable 3-25 ,1,tube
9582,Immunoglobulin heavy variable 1/,0,tube
9583,Immunoglobulin heavy variable 2-26 ,0,tube
9584,Immunoglobulin lambda variable 8-61 ,0,tube
9585,Leucine-rich alpha-2-glycoprotein ,0,tube
9586,Cholesteryl ester transfer protein ,0,tube
9587,Immunoglobulin kappa variable 6D-21 ,0,tube
9588,Immunoglobulin lambda variable 2-18 ,0,tube
9589,Immunoglobulin heavy variable 4-28 ,0,tube
9590,Immunoglobulin lambda variable 6-57 ,0,tube
9591,SH3 and multiple ankyrin repeat domains protein 1 ,0,tube
9592,Apolipoprotein M ,0,tube
9593,Adiponectin ,0,tube
9594,Immunoglobulin heavy variable 1-24 ,0,tube
9595,Uncharacterized protein ZSWIM9 ,0,tube
9596,Apolipoprotein A-II ,0,tube
9597,Alpha-1-acid glycoprotein 2 ,0,tube
9598,Immunoglobulin kappa variable 2-24 ,0,tube
9599,Complement factor D ,0,tube
9600,Immunoglobulin kappa variable 1D-16 ,0,tube
9601,Immunoglobulin heavy variable 7-4-1 ,0,tube
9602,Beta-Ala-His dipeptidase ,0,tube
9603,Coagulation factor XIII A chain ,0,tube
9604,Selenoprotein P ,0,tube
9605,Coagulation factor IX ,0,tube
9606,Transferrin receptor protein 1 ,0,tube
9607,Probable non-functional immunoglobulin kappa variable 2D-24 ,0,tube
9608,Immunoglobulin lambda variable 1-51 ,0,tube
9609,Pigment epithelium-derived factor ,0,tube
9610,Immunoglobulin kappa variable 1-17 ,0,tube
9611,Complement C1q subcomponent subunit C ,0,tube
9612,Galectin-3-binding protein ,0,tube
9613,Immunoglobulin kappa variable 2D-30 ,0,tube
9614,Immunoglobulin kappa variable 2D-29 ,0,tube
9615,Immunoglobulin kappa variable 2-29 ,0,tube
9616,Immunoglobulin kappa variable 1D-33 ,1,tube
9617,Immunoglobulin kappa variable 1-33 ,1,tube
9618,Immunoglobulin kappa variable 1D-8 ,0,tube
9619,Coagulation factor XIII B chain ,0,tube
9620,Immunoglobulin kappa variable 1-5 ,0,tube
9621,Immunoglobulin kappa variable 2-30 ,0,tube
9622,Immunoglobulin kappa variable 1-13 ,0,tube
9623,Immunoglobulin kappa variable 1D-13 ,0,tube
9624,Complement C1s subcomponent ,0,tube
9625,Complement C1q subcomponent subunit A ,0,tube
9626,Immunoglobulin heavy variable 3-20 ,0,tube
9627,Immunoglobulin lambda-like polypeptide 1 ,0,tube
9628,Alpha-1-acid glycoprotein 1 ,0,tube
9629,Complement component C7 ,0,tube
9630,Immunoglobulin kappa variable 2-40 ,0,tube
9631,Immunoglobulin kappa variable 2D-40 ,0,tube
9632,Complement C1r subcomponent-like protein ,0,tube
9633,Fibulin-1 ,0,tube
9634,Protein AMBP ,0,tube
9635,Zinc-alpha-2-glycoprotein ,0,tube
9636,Immunoglobulin heavy variable 3-74 ,1,tube
9637,Ficolin-3 ,0,tube
9638,Probable non-functional immunoglobulin kappa variable 3-7 ,0,tube
9639,Immunoglobulin heavy variable 3-43D ,0,tube
9640,C3/C5 convertase ,0,tube
9641,Complement C2 ,0,tube
9642,Complement factor H-related protein 2 ,0,tube
9643,Corticosteroid-binding globulin ,0,tube
9644,Immunoglobulin heavy variable 3-30-3 ,1,tube
9645,Serum paraoxonase/arylesterase 1 ,0,tube
9646,Immunoglobulin heavy variable 3-33 ,1,tube
9647,Immunoglobulin heavy variable 3-21 ,1,tube
9648,Lumican ,0,tube
9649,Coagulation factor XII ,0,tube
9650,Immunoglobulin heavy variable 3-72 ,1,tube
9651,Thyroxine-binding globulin ,0,tube
9652,Inter-alpha-trypsin inhibitor heavy chain H2 ,1,tube
9653,Complement factor I ,0,tube
9654,Alpha-2-antiplasmin ,0,tube
9655,Plasma protease C1 inhibitor ,0,tube
9656,Vitamin K-dependent protein S ,0,tube
9657,Collagen alpha-1(XII) chain ,0,tube
9658,Immunoglobulin lambda constant 7 ,0,tube
9659,ITIH4 protein ,0,tube
9660,Alpha-1-antichymotrypsin ,0,tube
9661,Hemopexin ,0,tube
9662,Complement C4-B ,0,tube
9663,Inter-alpha-trypsin inhibitor heavy chain H4 ,0,tube
9664,Alpha-1-antitrypsin ,1,tube
9665,Immunoglobulin heavy constant gamma 1 ,1,tube
9666,Thrombospondin-1 ,0,tube
9667,Apolipoprotein F ,0,tube
9668,Immunoglobulin heavy variable 1-3 ,0,tube
9669,Apolipoprotein A-I ,1,tube
9670,Apolipoprotein B-100 ,1,tube
9671,Plasma serine protease inhibitor ,0,tube
9672,Immunoglobulin J chain ,1,tube
9673,Apolipoprotein L1 ,0,tube
9674,Phosphatidylcholine-sterol acyltransferase ,0,tube
9675,Protein Z-dependent protease inhibitor ,0,tube
9676,Complement component C9 ,1,tube
9677,Immunoglobulin heavy variable 3-7 ,1,tube
9678,CD5 antigen-like ,0,tube
9679,Immunoglobulin lambda variable 3-10 ,0,tube
9680,Probable non-functional immunoglobulinn kappa variable 1D-37 ,0,tube
9681,Probable non-functional immunoglobulinn kappa variable 1-37 ,0,tube
9682,Fetuin-B ,0,tube
9683,Immunoglobulin heavy variable 1-8 ,0,tube
9684,Carboxypeptidase B2 ,0,tube
9685,Phospholipid transfer protein ,0,tube
9686,Immunoglobulin kappa variable 3-20 ,0,tube
9687,Immunoglobulin heavy variable 1-46 ,0,tube
9688,Haptoglobin ,0,tube
9689,Immunoglobulin heavy variable 1-2 ,0,tube
9690,Immunoglobulin heavy variable 1-69D ,0,tube
9691,Immunoglobulin kappa variable 1-6 ,0,tube
9692,Gelsolin ,0,tube
9693,Serum amyloid P-component ,1,tube
9694,Immunoglobulin heavy variable 3-49 ,1,tube
9695,Immunoglobulin kappa variable 3-11 ,1,tube
9696,Complement subcomponent C1r ,0,tube
9697,Lipopolysaccharide-binding protein ,0,tube
9698,Immunoglobulin lambda variable 3-27 ,1,tube
9699,Immunoglobulin heavy variable 1-69-2 ,0,tube
9700,Immunoglobulin heavy variable 1-18 ,0,tube
9701,Beta-2-glycoprotein 1 ,0,tube
9702,Immunoglobulin kappa variable 1-39 ,0,tube
9703,Immunoglobulin kappa variable 1D-39 ,0,tube
9704,Vitronectin ,1,tube
9705,Kininogen-1 ,0,tube
9706,Hepatocyte growth factor activator ,0,tube
9707,Immunoglobulin heavy variable 3-23 ,1,tube
9708,Hyaluronan-binding protein 2 ,0,tube
9709,Immunoglobulin heavy constant alpha 1 ,0,tube
9710,Plasma kallikrein ,0,tube
9711,Ig-like domain-containing protein  ,0,tube
9712,Complement C1r subcomponent ,0,tube
9713,Angiotensinogen ,1,tube
9714,Alpha-2-HS-glycoprotein ,0,tube
9715,Complement component C6 ,0,tube
9716,Immunoglobulin kappa variable 3D-20 ,1,tube
9717,Immunoglobulin heavy constant mu ,0,tube
9718,Immunoglobulin heavy variable 3-15 ,1,tube
9719,Immunoglobulin kappa variable 1-27 ,0,tube
9720,C4b-binding protein alpha chain ,0,tube
9721,Plasminogen ,1,tube
9722,Immunoglobulin kappa variable 1-8 ,0,tube
9723,Carboxypeptidase N subunit 2 ,0,tube
9724,Immunoglobulin lambda variable 1-47 ,0,tube
9725,Immunoglobulin kappa variable 1-16 ,0,tube
9726,Complement factor B ,1,tube
9727,Fibronectin ,1,tube
9728,Immunoglobulin lambda constant 3 ,1,tube
9729,Immunoglobulin heavy variable 4-38-2 ,0,tube
9730,Immunoglobulin heavy variable 3-9 ,1,tube
9731,Immunoglobulin kappa variable 3/,0,tube
9732,Immunoglobulin kappa variable 3D-7 ,0,tube
9733,Immunoglobulin heavy variable 4-4 ,0,tube
9734,Prothrombin ,1,tube
9735,Kallistatin ,0,tube
9736,Complement component C8 beta chain ,0,tube
9737,Apolipoprotein D ,1,tube
9738,Immunoglobulin lambda constant 2 ,1,tube
9739,Haptoglobin-related protein ,0,tube
9740,N-acetylmuramoyl-L-alanine amidase ,0,tube
9741,Immunoglobulin lambda variable 3-21 ,1,tube
9742,Antithrombin-III ,0,tube
9743,Heparin cofactor 2 ,0,tube
9744,Complement C3 ,0,tube
9745,Immunoglobulin heavy variable 4-39 ,0,tube
9746,Immunoglobulin heavy constant gamma 4 ,1,tube
9747,Immunoglobulin heavy constant alpha 2 ,0,tube
9748,Immunoglobulin heavy constant delta ,0,tube
9749,Ceruloplasmin ,0,tube
9750,Complement factor H ,0,tube
9751,Vitamin D-binding protein ,0,tube
9752,Alpha-1B-glycoprotein ,1,tube
9753,Complement C5 ,0,tube
9754,Insulin-like growth factor-binding protein complex acid labile subunit ,0,tube
9755,Immunoglobulin kappa variable 3-15 ,0,tube
9756,Immunoglobulin kappa constant ,0,tube
9757,Immunoglobulin lambda constant 1 ,1,tube
9758,Immunoglobulin lambda-like polypeptide 5 ,1,tube
9759,Immunoglobulin heavy constant gamma 3 ,1,tube
9760,Immunoglobulin heavy constant gamma 3  ,1,tube
9761,Complement C1q subcomponent subunit B ,0,tube
9762,Immunoglobulin heavy variable 3-13 ,1,tube
9763,Complement component C8 alpha chain ,0,tube
9764,Albumin ,0,tube
9765,Immunoglobulin heavy variable 3/,1,tube
9766,Inter-alpha-trypsin inhibitor heavy chain H1 ,0,tube
9767,Afamin ,0,tube
9768,Immunoglobulin kappa variable 4-1 ,0,tube
9769,Histidine-rich glycoprotein ,0,tube
9770,Immunoglobulin heavy variable 5-51 ,0,tube
9771,Immunoglobulin heavy constant gamma 2 ,0,tube
9772,Complement C4-A ,0,tube
9773,Serotransferrin ,0,tube
9774,Alpha-2-macroglobulin ,0,tube
9775,Clusterin ,1,tube PL
9776,Apolipoprotein E ,1,tube PL
9777,Actin  cytoplasmic 2 ,1,tube PL
9778,Heat shock cognate 71 kDa protein ,1,tube PL
9779,Annexin ,1,tube PL
9780,Glyceraldehyde-3-phosphate dehydrogenase ,1,tube PL
9781,Actin  cytoplasmic 1 ,1,tube PL
9782,Heterogeneous nuclear ribonucleoproteins C1/C2 ,1,tube PL
9783,Polyubiquitin-C ,1,tube PL
9784,40S ribosomal protein SA ,1,tube PL
9785,Tubulin alpha-1A chain ,1,tube PL
9786,Tubulin alpha-1B chain ,1,tube PL
9787,Cathepsin D ,1,tube PL
9788,Corneodesmosin ,1,tube PL
9789,Histone H2A ,1,tube PL
9790,Desmoplakin ,1,tube PL
9791,Histone H3 ,1,tube PL
9792,Arginase-1 ,1,tube PL
9793,Coagulation factor V ,1,tube PL
9794,Heterogeneous nuclear ribonucleoprotein U ,1,tube PL
9795,Heat shock protein HSP 90-alpha ,1,tube PL
9796,Histone H1.2 ,1,tube PL
9797,Tubulin alpha-1C chain ,1,tube PL
9798,Tubulin alpha chain ,1,tube PL
9799,Junction plakoglobin ,1,tube PL
9800,Dipeptidyl peptidase 1 ,1,tube PL
9801,Histone H2B type 2-F ,1,tube PL
9802,Cofilin-1 ,1,tube PL
9803,Polyubiquitin-B ,1,tube PL
9804,ATP synthase subunit alpha  mitochondrial ,1,tube PL
9805,Annexin A2 ,1,tube PL
9806,Desmocollin-1 ,1,tube PL
9807,Dermokine ,1,tube PL
9808,Histone H4 ,1,tube PL
9809,Peptidase A1 domain-containing protein ,1,tube PL
9810,Histone H1.5 ,1,tube PL
9811,Heat shock protein HSP 90-beta ,1,tube PL
9812,Histone H3.3 ,1,tube PL
9813,Tubulin beta chain ,1,tube PL
9814,Histone H1.3 ,1,tube PL
9815,Histone H1.4 ,1,tube PL
9816,Histone H2A type 2-B ,1,tube PL
9817,Heat shock protein 75 kDa  mitochondrial ,1,tube PL
9818,Filaggrin-2 ,1,tube PL
9819,Alpha-enolase ,1,tube PL
